counterparty_name,counterparty_role,invoice_type,gross_amount,issue_date,due_date,actual_payment_date,status
Client A Distribution SRL,CLIENT,RECEIVABLE,65000.00,2026-05-15,2026-06-04,2026-06-02,SETTLED
Client B Retail SRL,CLIENT,RECEIVABLE,65000.00,2026-05-23,2026-06-12,2026-06-10,SETTLED
Client C Logistics SRL,CLIENT,RECEIVABLE,65000.00,2026-05-31,2026-06-20,2026-06-18,SETTLED
Client D Commerce SRL,CLIENT,RECEIVABLE,65000.00,2026-06-08,2026-06-28,2026-06-26,SETTLED
Client E Market SRL,CLIENT,RECEIVABLE,65000.00,2026-06-16,2026-07-06,2026-07-04,SETTLED
Client A Distribution SRL,CLIENT,RECEIVABLE,65000.00,2026-06-24,2026-07-14,2026-07-12,SETTLED
Client B Retail SRL,CLIENT,RECEIVABLE,65000.00,2026-07-02,2026-07-22,2026-07-20,SETTLED
Client C Logistics SRL,CLIENT,RECEIVABLE,65000.00,2026-07-10,2026-07-30,2026-07-28,SETTLED
Client D Commerce SRL,CLIENT,RECEIVABLE,65000.00,2026-07-18,2026-08-07,2026-08-05,SETTLED
Client E Market SRL,CLIENT,RECEIVABLE,65000.00,2026-07-26,2026-08-15,2026-08-13,SETTLED
Client A Distribution SRL,CLIENT,RECEIVABLE,65000.00,2026-08-03,2026-08-23,2026-08-21,SETTLED
Client B Retail SRL,CLIENT,RECEIVABLE,65000.00,2026-08-11,2026-08-31,2026-08-29,SETTLED
Client C Logistics SRL,CLIENT,RECEIVABLE,65000.00,2026-08-19,2026-09-08,2026-09-06,SETTLED
Prime Material Furnizor SRL,SUPPLIER,PAYABLE,150000.00,2026-09-10,2026-10-05,,OUTSTANDING
Energy Utilities SA,SUPPLIER,PAYABLE,150000.00,2026-09-12,2026-10-10,,OUTSTANDING
