counterparty_name,counterparty_role,invoice_type,gross_amount,issue_date,due_date,actual_payment_date,status
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-03-20,2026-04-19,,OVERDUE
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-03-30,2026-04-29,,OVERDUE
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-04-10,2026-05-10,,OVERDUE
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-04-20,2026-05-20,2026-07-04,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-04-30,2026-05-30,2026-07-14,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-05-10,2026-06-09,2026-07-24,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-05-20,2026-06-19,2026-08-03,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-05-30,2026-06-29,2026-08-13,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-06-10,2026-07-10,2026-08-24,SETTLED
Monopolist Client SRL,CLIENT,RECEIVABLE,75000.00,2026-06-20,2026-07-20,2026-09-03,SETTLED
Minor Buyer SRL,CLIENT,RECEIVABLE,50000.00,2026-04-15,2026-05-15,2026-06-24,SETTLED
Minor Buyer SRL,CLIENT,RECEIVABLE,50000.00,2026-05-01,2026-05-31,2026-07-10,SETTLED
Minor Buyer SRL,CLIENT,RECEIVABLE,50000.00,2026-05-15,2026-06-14,2026-07-24,SETTLED
Heavy Spares SRL,SUPPLIER,PAYABLE,150000.00,2026-09-05,2026-09-25,,OUTSTANDING
Fleet Fuel SA,SUPPLIER,PAYABLE,100000.00,2026-09-08,2026-09-30,,OUTSTANDING
