business_id,legal_name,sector,region,company_age_years,employee_count,size_class,annual_revenue_mdl,total_assets_mdl,current_assets_mdl,current_liabilities_mdl,total_liabilities_mdl,equity_mdl,cash_mdl,receivables_mdl,inventory_mdl,working_capital_mdl,net_income_mdl,operating_cash_flow_mdl,current_ratio,debt_ratio,roa,profit_margin,asset_turnover,dso_days
BUS-000001,Luceafarul Distrib SRL,manufacturing,north_balti,17,1,micro,1691380.66,1028758.96,585151.47,317104.65,407189.27,621569.69,59382.66,273498.17,126971.7,268046.82,54001.12,65578.2,1.8453,0.3958,0.0525,0.0319,1.6441,59.0
BUS-000002,Flora Lider SRL,manufacturing,chisinau_center,14,1,micro,982824.36,900850.35,810765.31,540655.75,689388.07,211462.28,103972.85,185656.77,66483.48,270109.56,83201.18,75318.11,1.4996,0.7653,0.0924,0.0847,1.091,68.9
BUS-000003,Agro Plus SRL,retail_trade,chisinau_center,24,2,micro,516483.1,437668.97,213900.16,125511.52,185388.96,252280.01,12090.63,107191.2,24731.98,88388.64,2529.28,20210.64,1.7042,0.4236,0.0058,0.0049,1.1801,75.8
BUS-000004,Logistica Trading SRL,retail_trade,chisinau_center,30,80,medium,27124099.23,32106652.68,15054088.99,10534268.95,13660919.03,18445733.65,1817145.28,3326232.32,2093020.77,4519820.04,1786310.92,2495109.59,1.4291,0.4255,0.0556,0.0659,0.8448,44.8
BUS-000005,Construct Export SRL,retail_trade,south_cahul,15,76,medium,38228558.38,38663894.83,15150249.02,11576630.05,19921576.38,18742318.45,2014344.44,8404384.17,3070319.57,3573618.97,3712374.99,4660758.62,1.3087,0.5153,0.096,0.0971,0.9887,80.2
BUS-000006,Euro Trading SRL,manufacturing,south_cahul,12,3,micro,1424418.71,2316165.2,1293999.35,575576.76,1021088.32,1295076.88,207079.28,212574.25,44411.43,718422.59,239114.52,341429.8,2.2482,0.4409,0.1032,0.1679,0.615,54.5
BUS-000007,Comert Invest SRL,manufacturing,north_balti,11,11,small,2514575.59,2114682.19,703490.27,422000.33,715061.04,1399621.15,116461.48,370278.59,158047.32,281489.94,-19053.5,85747.57,1.667,0.3381,-0.009,-0.0076,1.1891,53.7
BUS-000008,Codru Plus SRL,manufacturing,south_cahul,25,1,micro,370219.44,205330.82,184797.74,120165.53,174156.77,31174.05,17503.84,34642.09,8592.7,64632.21,10288.45,17959.32,1.5379,0.8482,0.0501,0.0278,1.803,34.2
BUS-000009,Nord Export SRL,retail_trade,north_balti,9,8,small,4832435.27,3924323.01,1959103.14,2422066.71,2991555.31,932767.7,121121.11,857091.94,333667.18,-462963.57,103498.73,210985.47,0.8089,0.7623,0.0264,0.0214,1.2314,64.7
BUS-000010,Optima Distrib SRL,transport_storage,chisinau_center,1,10,small,10396478.37,9530676.19,3404935.98,1443337.71,2238043.35,7292632.84,306749.95,305085.13,379811.35,1961598.27,562805.28,1293816.44,2.3591,0.2348,0.0591,0.0541,1.0908,10.7
BUS-000011,Bucuria Trading SRL,manufacturing,chisinau_center,11,2,micro,1623189.07,1060665.25,423470.87,394567.99,557913.97,502751.28,36015.95,96924.04,79181.76,28902.88,116240.28,120665.25,1.0733,0.526,0.1096,0.0716,1.5304,21.8
BUS-000012,Vitis Plus SRL,retail_trade,north_balti,11,16,small,11316091.35,14531050.57,9213578.24,8130207.92,11145388.04,3385662.53,1109252.4,883390.98,1019232.33,1083370.32,686498.27,1572114.07,1.1333,0.767,0.0472,0.0607,0.7788,28.5
BUS-000013,Vitis Lux SRL,retail_trade,chisinau_center,14,1,micro,1011502.45,502979.77,233954.75,150646.57,212452.92,290526.85,15402.89,112442.77,85170.5,83308.18,42237.52,68136.63,1.553,0.4224,0.084,0.0418,2.011,40.6
BUS-000014,Dacia Prim SRL,retail_trade,chisinau_center,6,7,small,2495596.76,1966890.0,942544.49,552135.73,875509.45,1091380.55,143344.19,436559.29,282720.98,390408.76,206894.11,327762.91,1.7071,0.4451,0.1052,0.0829,1.2688,63.9
BUS-000015,Optima Plus SRL,retail_trade,chisinau_center,5,65,medium,53514224.97,51680822.37,36287754.12,14699987.8,23344086.28,28336736.09,4621969.56,7685272.43,513150.1,21587766.32,5211492.31,6652497.41,2.4686,0.4517,0.1008,0.0974,1.0355,52.4
BUS-000016,Omega Lux SRL,retail_trade,chisinau_center,21,80,medium,55817050.94,42098764.82,19326991.42,8286155.92,10740495.74,31358269.08,2422731.74,5304250.56,5483876.58,11040835.5,3923437.14,5008785.11,2.3324,0.2551,0.0932,0.0703,1.3259,34.7
BUS-000017,Cereale Lux II,services,north_balti,19,2,micro,2052467.95,1260106.78,1056020.23,634866.55,959535.92,300570.86,134712.26,512847.68,19681.2,421153.68,74997.85,36903.16,1.6634,0.7615,0.0595,0.0365,1.6288,91.2
BUS-000018,Orhei Industrie SRL,manufacturing,north_balti,14,13,small,11596726.27,6891189.05,1807007.54,1734515.95,2407357.93,4483831.12,194838.49,927788.12,523164.02,72491.59,477364.28,945244.61,1.0418,0.3493,0.0693,0.0412,1.6828,29.2
BUS-000019,Logistica Plus II,manufacturing,chisinau_center,10,3,micro,876655.9,1071500.15,240949.3,271854.18,484223.53,587276.62,26286.9,130238.54,50916.89,-30904.88,94580.53,132552.8,0.8863,0.4519,0.0883,0.1079,0.8182,54.2
BUS-000020,Alfa Export SRL,manufacturing,chisinau_center,28,46,medium,39342323.58,38908765.52,10868504.13,11449437.28,14556774.57,24351990.95,1392064.78,4897376.69,3497387.59,-580933.15,1418632.7,3514915.32,0.9493,0.3741,0.0365,0.0361,1.0111,45.4
BUS-000021,Bucuria Service SRL,services,north_balti,20,15,small,8676748.48,13511261.06,6251083.48,5663402.35,8552428.29,4958832.77,986902.22,1162104.25,156270.16,587681.13,386007.02,975105.32,1.1038,0.633,0.0286,0.0445,0.6422,48.9
BUS-000022,Nistru Lux SRL,services,chisinau_center,7,1,micro,542121.55,460603.87,173852.12,214107.47,299365.96,161237.91,26269.27,104441.5,6501.2,-40255.35,37720.35,70129.91,0.812,0.6499,0.0819,0.0696,1.177,70.3
BUS-000023,Omega Trading SRL,construction,chisinau_center,14,7,small,6024140.3,5746417.28,2498634.96,1484064.0,2226291.48,3520125.8,165323.91,1311151.17,436746.65,1014570.96,512497.0,928985.14,1.6836,0.3874,0.0892,0.0851,1.0483,79.4
BUS-000024,Omega Trading SRL,manufacturing,chisinau_center,12,8,small,11980888.96,12506693.22,6867194.35,5161214.65,6789006.39,5717686.83,694890.16,1920750.43,1104842.97,1705979.7,-63010.11,214821.5,1.3305,0.5428,-0.005,-0.0053,0.958,58.5
